,brand,username,user_id
0,Nike,#niberg112,%23niberg112
1,Nike,104.3nowfm,104.3nowfm
2,Nike,11102221493,11102221493
3,Nike,11129094089,11129094089
4,Nike,11136291185,11136291185
5,Nike,11141380665,11141380665
6,Nike,11144968230,11144968230
7,Nike,11149479856,11149479856
8,Nike,11169698210,11169698210
9,Nike,11173507346,11173507346
10,Nike,11180417693,11180417693
11,Nike,11187206376,11187206376
12,Nike,1132537451,1132537451
13,Nike,1151897978,1151897978
14,Nike,1152492826,1152492826
15,Nike,12101126331,12101126331
16,Nike,12135480475,12135480475
17,Nike,12143146194,12143146194
18,Nike,12155715187,12155715187
19,Nike,12170900597,12170900597
20,Nike,12181949110,12181949110
21,Nike,12186639631,12186639631
22,Nike,1245495715,1245495715
23,Nike,1245759982,1245759982
24,Nike,1266886726,1266886726
25,Nike,12669649,12669649
26,Nike,1288829962,1288829962
27,Nike,1298657532,1298657532
28,Nike,14.jade,14.jade
29,Nike,1b2k,1b2k
30,Nike,213kamcrveyzfrr2cjnx2pwqa,213kamcrveyzfrr2cjnx2pwqa
31,Nike,216181,315xhmr4b7vj3o4fizefgy47dfk4
32,Nike,2167ynimon6ec4kzydxohxasq,2167ynimon6ec4kzydxohxasq
33,Nike,21c4cajbzguexxdqquf2tn7by,21c4cajbzguexxdqquf2tn7by
34,Nike,21l3rfy6fg5dvh2bmrc52zl2a,21l3rfy6fg5dvh2bmrc52zl2a
35,Nike,21m5kbzkwxpbu4qevzwyx5auy,21m5kbzkwxpbu4qevzwyx5auy
36,Nike,21uvze3kjss7sm63szejdhqjq,21uvze3kjss7sm63szejdhqjq
37,Nike,21vxihh62rjk5tzblakalmbjq,21vxihh62rjk5tzblakalmbjq
38,Nike,223fkmthmvjbxwya2ofcc7uwq,223fkmthmvjbxwya2ofcc7uwq
39,Nike,223l625ljhezugkokmr3fft7a,223l625ljhezugkokmr3fft7a
40,Nike,224f6g6ne56246hxnzu4by4uq,224f6g6ne56246hxnzu4by4uq
41,Nike,2257jtasp5t3crjxehrydos6y,2257jtasp5t3crjxehrydos6y
42,Nike,22ersa3xttl7btymwuybcpkni,22ersa3xttl7btymwuybcpkni
43,Nike,22lmfaysoaaa6nalii5a47h4y,22lmfaysoaaa6nalii5a47h4y
44,Nike,22mhfkimr74i37l26unrez67a,22mhfkimr74i37l26unrez67a
45,Nike,22ytblns6yy6gfwwok3v6dygq,22ytblns6yy6gfwwok3v6dygq
46,Nike,3ri,22b3xia54g3yz5pcputy7jtwq
47,Nike,@ctrlaltgustavo,12169004296
48,Nike,_biffru,soufiaan
49,Nike,aaron_cedrick02,aaron_cedrick02
50,Nike,aaronp454,aaronp454
51,Nike,dk,dk
52,Nike,abdulahida,abdulahida
53,Nike,abdussamed2001jsj,abdussamed2001jsj
54,Nike,6,6
55,Nike,My Durén,my
56,Nike,Abraham Rodriguez,12186673110
57,Nike,abrown2022,abrown2022
58,Nike,aceeey_,aceeey_
59,Nike,achim.martin,achim.martin
60,Nike,Adair Tavares,dany011924
61,Nike,Adam Bakhtiar,21bmdaadtjhgm4ari6qt6cs7q
62,Nike,Adrian Ramos Jimenez,adriramos7
63,Nike,Adriana Z.,azetula
64,Nike,adélie,ad%C3%A9lie
65,Nike,Afiq.R,1294579173
66,Nike,africa140,africa140
67,Nike,ahrin2u,ahrin2u
68,Nike,ahsenbaser,ahsenbaser
69,Nike,Aiman Nadzri,creznac
70,Nike,aimansam,aimansam
71,Nike,Aitor Soto Mariel,12133048069
72,Nike,97,97
73,Nike,ajj39,ajj39
74,Nike,fr,fr
75,Nike,Alberto Romano,11167266472
76,Nike,alda.shala.1998,alda.shala.1998
77,Nike,aldwin,0ghqd58147eoww8ghvr4p1dmy
78,Nike,Alejandro Camargo,12178196097
79,Nike,alena,chayenne777
80,Nike,Alex ArciNena,alexarcinena
81,Nike,alex.coughlin,alex.coughlin
